mobile_price,disp_size,resolution,os,num_cores,mp_speed,int_memory,ram,battery_power,mob_width,mob_height,mob_depth,mob_weight,2G,3G,4G,4GVOLTE,5G,p_cam_max,p_cam_count,f_cam_max,f_cam_count,Infinix,MI3,Mi,OPPO,POCO,Realme,Redmi,Samsung,Vivo,Black,Blue,Brick,Brown,Champagne,Concrete,Cyan,Edition,Gold,Green,Grey,Mint,Mist,Orange,Purple,Red,Ruby,Sapphire,Sea,Silver,Violet,Wave,White
8999,16.56,1152000,10,8,2.0,32,3,5000,75.0,164.4,8.95,195.0,1,1,1,1,0,12,3,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8999,16.56,1152000,10,8,2.0,32,3,5000,75.0,164.4,8.95,195.0,1,1,1,1,0,12,3,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9999,16.56,1152000,10,8,2.0,64,4,5000,75.0,164.4,8.95,195.0,1,1,1,1,0,12,3,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9999,16.56,1152000,10,8,2.0,64,4,5000,75.0,164.4,8.95,195.0,1,1,1,1,0,12,3,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11999,16.51,1152000,10,8,2.0,128,4,5000,75.4,164.4,9.0,199.0,1,1,1,1,0,48,4,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11999,16.51,1152000,10,8,2.0,128,4,5000,75.4,164.4,9.0,199.0,1,1,1,1,0,48,4,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14999,16.0,2527200,9,8,2.3,64,6,4035,74.2,157.0,8.9,184.0,1,1,0,1,0,48,4,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16999,16.0,2527200,9,8,2.3,128,8,4035,74.2,157.0,8.9,184.0,1,1,0,1,0,48,4,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16999,16.0,2527200,9,8,2.3,128,8,4035,74.2,157.0,8.9,184.0,1,1,0,1,0,48,4,16,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13999,16.0,2527200,9,8,2.3,64,4,4035,74.2,157.0,8.9,184.0,1,1,0,1,0,48,4,16,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35999,16.51,2592000,9,8,2.96,256,12,4000,75.7,161.0,8.7,199.0,1,1,1,1,0,64,4,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35999,16.51,2592000,9,8,2.96,256,12,4000,75.7,161.0,8.7,199.0,1,1,1,1,0,64,4,16,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31999,16.51,2592000,9,8,2.96,128,8,4000,75.7,161.0,8.7,199.0,1,1,1,1,0,64,4,16,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31999,16.51,2592000,9,8,2.96,128,8,4000,75.7,161.0,8.7,199.0,1,1,1,1,0,64,4,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15490,16.0,2527200,8,8,1.95,128,8,3500,74.0,156.7,8.5,174.0,1,1,0,1,0,16,2,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16999,16.26,2527200,9,8,2.3,64,4,4000,75.16,158.7,8.55,183.0,1,1,1,0,0,64,4,16,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16999,16.26,2527200,9,8,2.3,64,4,4000,75.16,158.7,8.55,183.0,1,1,1,0,0,64,4,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41999,16.36,2592000,10,8,2.8,128,8,4200,74.24,158.96,9.65,207.0,1,1,1,1,1,64,4,32,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41999,16.36,2592000,10,8,2.8,128,8,4200,74.24,158.96,9.65,207.0,1,1,1,1,1,64,4,32,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46999,16.36,2592000,10,8,2.8,256,12,4200,74.24,158.96,9.65,207.0,1,1,1,1,1,64,4,32,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8999,16.56,1152000,10,8,2.0,32,3,5000,75.0,164.4,8.95,195.0,1,1,1,1,0,12,2,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16999,16.51,2592000,10,8,2.05,128,6,4300,74.8,162.1,9.6,191.0,1,1,1,1,0,64,4,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19999,16.76,2592000,10,8,2.3,128,8,4300,75.8,163.9,9.4,195.0,1,1,1,1,0,64,4,16,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19999,16.76,2592000,10,8,2.3,128,8,4300,75.8,163.9,9.4,195.0,1,1,1,1,0,64,4,16,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6999,15.49,1123200,9,8,2.0,32,2,4000,73.7,154.3,8.5,166.0,1,1,1,1,0,13,2,5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6999,15.49,1123200,9,8,2.0,32,2,4000,73.7,154.3,8.5,166.0,1,1,1,1,0,13,2,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7499,15.49,1123200,9,8,2.0,32,3,4000,73.7,154.3,8.5,166.0,1,1,1,1,0,13,2,5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7499,15.49,1123200,9,8,2.0,32,3,4000,73.7,154.3,8.5,166.0,1,1,1,1,0,13,2,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7499,15.49,1123200,9,8,2.0,32,3,4000,73.7,154.3,8.5,166.0,1,1,1,1,0,13,2,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17999,16.51,2592000,10,8,2.05,128,8,4300,74.8,162.1,9.6,191.0,1,1,1,1,0,64,4,16,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7499,15.49,1123200,9,8,2.0,32,3,4000,73.7,154.3,8.5,166.0,1,1,1,1,0,13,2,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13999,16.0,2527200,9,8,2.3,64,4,4035,74.2,157.0,8.9,184.0,1,1,0,1,0,48,4,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11999,16.51,1152000,9,8,2.0,128,4,5000,75.6,164.4,9.3,198.0,1,1,1,1,0,48,4,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10999,16.51,1152000,9,8,2.0,64,4,5000,75.6,164.4,9.3,198.0,1,1,1,1,0,48,4,13,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11999,16.51,1152000,9,8,2.0,128,4,5000,75.6,164.4,9.3,198.0,1,1,1,1,0,48,4,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10999,16.51,1152000,9,8,2.0,64,4,5000,75.6,164.4,9.3,198.0,1,1,1,1,0,48,4,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11999,16.51,1152000,9,8,2.0,128,4,5000,75.6,164.4,9.3,198.0,1,1,1,1,0,48,4,13,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10999,16.51,1152000,9,8,2.0,64,4,5000,75.6,164.4,9.3,198.0,1,1,1,1,0,48,4,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29999,16.51,2592000,9,8,2.96,64,6,4000,75.7,161.0,8.7,199.0,1,1,1,1,0,64,4,16,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29999,16.51,2592000,9,8,2.96,64,6,4000,75.7,161.0,8.7,199.0,1,1,1,1,0,64,4,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36999,16.51,2592000,9,8,2.96,256,12,4000,75.7,161.0,8.7,199.0,1,1,1,1,0,64,4,16,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36999,16.51,2592000,9,8,2.96,256,12,4000,75.7,161.0,8.7,199.0,1,1,1,1,0,64,4,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17999,16.51,2592000,10,8,2.05,128,8,4300,74.8,162.1,9.6,191.0,1,1,1,1,0,64,4,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7499,15.49,1123200,9,8,2.0,32,3,4000,73.7,154.3,8.5,166.0,1,1,1,1,0,13,2,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13999,16.0,2527200,9,8,2.3,64,4,4035,74.2,157.0,8.9,184.0,1,1,0,1,0,48,4,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11999,16.51,1152000,9,8,2.0,128,4,5000,75.6,164.4,9.3,198.0,1,1,1,1,0,48,4,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10999,16.51,1152000,9,8,2.0,64,4,5000,75.6,164.4,9.3,198.0,1,1,1,1,0,48,4,13,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11999,16.51,1152000,9,8,2.0,128,4,5000,75.6,164.4,9.3,198.0,1,1,1,1,0,48,4,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10999,16.51,1152000,9,8,2.0,64,4,5000,75.6,164.4,9.3,198.0,1,1,1,1,0,48,4,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11999,16.51,1152000,9,8,2.0,128,4,5000,75.6,164.4,9.3,198.0,1,1,1,1,0,48,4,13,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10999,16.51,1152000,9,8,2.0,64,4,5000,75.6,164.4,9.3,198.0,1,1,1,1,0,48,4,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29999,16.51,2592000,9,8,2.96,64,6,4000,75.7,161.0,8.7,199.0,1,1,1,1,0,64,4,16,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29999,16.51,2592000,9,8,2.96,64,6,4000,75.7,161.0,8.7,199.0,1,1,1,1,0,64,4,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36999,16.51,2592000,9,8,2.96,256,12,4000,75.7,161.0,8.7,199.0,1,1,1,1,0,64,4,16,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36999,16.51,2592000,9,8,2.96,256,12,4000,75.7,161.0,8.7,199.0,1,1,1,1,0,64,4,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19999,16.26,2527200,9,8,2.2,128,6,4000,75.2,158.7,8.6,182.0,1,1,1,1,0,64,4,32,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19999,16.26,2527200,9,8,2.2,128,6,4000,75.2,158.7,8.6,182.0,1,1,1,1,0,64,4,32,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17999,16.26,2527200,9,8,2.2,64,4,4000,75.2,158.7,8.6,182.0,1,1,1,1,0,64,4,32,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17999,16.26,2527200,9,8,2.2,64,4,4000,75.2,158.7,8.6,182.0,1,1,1,1,0,64,4,32,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20999,16.26,2527200,9,8,2.2,128,8,4000,75.2,158.7,8.6,182.0,1,1,1,1,0,64,4,32,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19999,16.26,2527200,9,8,2.2,128,6,4000,75.2,158.7,8.6,182.0,1,1,1,1,0,64,4,32,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20999,16.26,2527200,9,8,2.2,128,8,4000,75.2,158.7,8.6,182.0,1,1,1,1,0,64,4,32,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20999,16.26,2527200,9,8,2.2,128,8,4000,75.2,158.7,8.6,182.0,1,1,1,1,0,64,4,32,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6499,15.49,1123200,9,8,2.0,16,2,4000,73.7,154.3,8.5,166.0,1,1,1,1,0,13,2,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11999,16.51,1152000,10,8,2.0,128,4,5000,75.4,164.4,9.0,199.0,1,1,1,1,0,48,4,16,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25999,16.69,2592000,10,8,2.96,128,8,4200,75.8,163.8,9.3,202.0,1,1,1,1,0,64,4,16,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24999,16.69,2592000,10,8,2.96,128,6,4200,75.8,163.8,9.3,202.0,1,1,1,1,0,64,4,16,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25999,16.69,2592000,10,8,2.96,128,8,4200,75.8,163.8,9.3,202.0,1,1,1,1,0,64,4,16,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27999,16.69,2592000,10,8,2.96,128,8,4200,75.8,163.8,9.3,202.0,1,1,1,1,0,64,4,32,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32999,16.69,2592000,10,8,2.96,256,12,4200,75.8,163.8,9.3,202.0,1,1,1,1,0,64,4,32,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32999,16.69,2592000,10,8,2.96,256,12,4200,75.8,163.8,9.3,202.0,1,1,1,1,0,64,4,32,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27999,16.69,2592000,10,8,2.96,128,8,4200,75.8,163.8,9.3,202.0,1,1,1,1,0,64,4,32,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8499,15.8,1094400,9,8,2.1,32,3,4230,75.6,156.1,8.3,175.0,1,1,1,1,0,13,2,13,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,15.8,1094400,9,8,2.1,64,4,4230,75.6,156.1,8.3,175.0,1,1,1,1,0,13,2,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9499,15.8,1094400,9,8,2.1,64,3,4230,75.6,156.1,8.3,175.0,1,1,1,1,0,13,2,13,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,15.8,1094400,9,8,2.1,64,3,4230,75.6,156.1,8.3,175.0,1,1,1,1,0,13,2,13,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8499,15.8,1094400,9,8,2.1,32,3,4230,75.6,156.1,8.3,175.0,1,1,1,1,0,13,2,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10499,15.8,1094400,9,8,2.1,64,4,4230,75.6,156.1,8.3,175.0,1,1,1,1,0,13,2,13,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10499,15.8,1094400,9,8,2.1,64,4,4230,75.6,156.1,8.3,175.0,1,1,1,1,0,13,2,13,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,15.8,1094400,9,8,1.95,64,4,5000,75.41,156.48,9.4,188.0,1,1,0,1,0,12,2,8,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,15.8,1094400,9,8,1.95,64,4,5000,75.41,156.48,9.4,188.0,1,1,0,1,0,12,2,8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24999,16.23,2527200,9,8,2.84,128,6,4000,74.3,156.7,8.8,191.0,1,1,0,1,0,48,3,20,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16999,16.94,2592000,10,8,2.3,64,4,5020,76.68,165.75,8.8,209.0,0,1,0,1,0,48,4,16,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24999,16.23,2527200,9,8,2.84,128,6,4000,74.3,156.7,8.8,191.0,1,1,0,1,0,48,3,20,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16939,15.44,1123200,9,8,2.0,128,6,4030,71.85,153.48,8.475,173.8,1,1,1,1,0,48,3,32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24999,16.23,2527200,9,8,2.84,128,6,4000,74.3,156.7,8.8,191.0,1,1,0,1,0,48,3,20,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16999,16.0,2527200,9,8,2.0,128,6,4000,75.21,159.21,8.1,186.0,1,1,0,1,0,48,2,13,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14999,15.44,1123200,9,8,2.0,128,6,4030,71.85,153.48,8.475,173.8,1,1,1,1,0,48,3,32,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16999,15.21,2332800,7,8,2.5,128,6,3400,75.49,151.86,7.7,185.0,1,1,0,1,0,12,1,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
